Special_Lite,21,Branch1
Triple_Espresso,38,Branch8
LARGE_Coffee,144,Branch3
Cold_cappuccino,287,Branch5
SMALL_cappuccino,574,Branch3
ICY_LATTE,113,Branch5
Double_cappuccino,228,Branch9
MED_MOCHA,459,Branch5
Special_cappuccino,922,Branch8
Triple_Lite,813,Branch6
Mild_Coffee,596,Branch7
LARGE_MOCHA,163,Branch6
Cold_Espresso,334,Branch5
SMALL_Espresso,677,Branch7
ICY_Coffee,328,Branch5
Double_LATTE,667,Branch3
MED_cappuccino,310,Branch2
Special_Espresso,633,Branch6
Triple_cappuccino,244,Branch2
Mild_MOCHA,503,Branch5
LARGE_cappuccino,1022,Branch8
Cold_Lite,1025,Branch3
SMALL_Lite,1032,Branch8
ICY_MOCHA,1047,Branch5
Double_Coffee,42,Branch5
MED_Espresso,105,Branch4
Special_Lite,232,Branch6
Triple_LATTE,487,Branch3
Mild_cappuccino,998,Branch5
LARGE_Espresso,985,Branch7
Cold_cappuccino,960,Branch8
SMALL_cappuccino,911,Branch5
ICY_cappuccino,814,Branch4
Double_MOCHA,621,Branch5
MED_Lite,236,Branch2
Special_cappuccino,503,Branch7
Triple_Coffee,1038,Branch6
Mild_Espresso,37,Branch1
LARGE_Lite,108,Branch8
Cold_LATTE,251,Branch9
SMALL_LATTE,538,Branch2
ICY_Espresso,77,Branch4
Double_cappuccino,192,Branch4
MED_cappuccino,423,Branch8
Special_LATTE,886,Branch8
Triple_MOCHA,777,Branch3
Mild_Lite,560,Branch5
LARGE_cappuccino,127,Branch8
Cold_Coffee,298,Branch8
SMALL_Coffee,641,Branch4
ICY_Lite,292,Branch6
Double_Espresso,631,Branch3
MED_LATTE,274,Branch5
Special_Coffee,597,Branch6
Triple_cappuccino,208,Branch2
Mild_cappuccino,467,Branch4
LARGE_LATTE,986,Branch8
Cold_MOCHA,989,Branch7
SMALL_MOCHA,996,Branch1
ICY_cappuccino,1011,Branch5
Double_Lite,1042,Branch3
MED_Coffee,69,Branch6
Special_MOCHA,196,Branch5
Triple_Espresso,451,Branch7
Mild_LATTE,962,Branch5
LARGE_Coffee,949,Branch8
Cold_cappuccino,924,Branch2
SMALL_cappuccino,875,Branch3
ICY_LATTE,778,Branch8
Double_cappuccino,585,Branch1
MED_MOCHA,200,Branch8
Special_cappuccino,467,Branch8
Triple_Lite,1002,Branch4
Mild_Coffee,1037,Branch7
LARGE_MOCHA,72,Branch3
Cold_Espresso,215,Branch2
SMALL_Espresso,502,Branch6
ICY_Coffee,41,Branch2
Double_LATTE,156,Branch5
MED_cappuccino,387,Branch5
Special_Espresso,850,Branch5
Triple_cappuccino,741,Branch6
Mild_MOCHA,524,Branch7
LARGE_cappuccino,91,Branch7
Cold_Lite,262,Branch7
SMALL_Lite,605,Branch6
ICY_MOCHA,256,Branch8
Double_Coffee,595,Branch5
MED_Espresso,238,Branch6
Special_Lite,561,Branch9
Triple_LATTE,172,Branch3
Mild_cappuccino,431,Branch5
LARGE_Espresso,950,Branch5
Cold_cappuccino,953,Branch1
SMALL_cappuccino,960,Branch7
ICY_cappuccino,975,Branch4
Double_MOCHA,1006,Branch6
MED_Lite,33,Branch7
Special_cappuccino,160,Branch6
Triple_Coffee,415,Branch6
Mild_Espresso,926,Branch3
LARGE_Lite,913,Branch8
Cold_LATTE,888,Branch9
SMALL_LATTE,839,Branch3
ICY_Espresso,742,Branch1
Double_cappuccino,549,Branch8
MED_cappuccino,164,Branch5
Special_LATTE,431,Branch5
Triple_MOCHA,966,Branch8
Mild_Lite,1001,Branch3
LARGE_cappuccino,36,Branch3
Cold_Coffee,179,Branch8
SMALL_Coffee,466,Branch7
ICY_Lite,1041,Branch9
Double_Espresso,120,Branch2
MED_LATTE,351,Branch9
Special_Coffee,814,Branch1
Triple_cappuccino,705,Branch6
Mild_cappuccino,488,Branch7
LARGE_LATTE,55,Branch4
Cold_MOCHA,226,Branch1
SMALL_MOCHA,569,Branch2
ICY_cappuccino,220,Branch3
Double_Lite,559,Branch2
MED_Coffee,202,Branch8
Special_MOCHA,525,Branch2
Triple_Espresso,136,Branch9
